smiles,RF_homo,RF_lumo,RF_gap,norm_homo,norm_lumo,norm_gap,score,rank,has_B,has_P,MW
BBO.O=P(O)(O)OP(=O)(O)O,-7.951019999999984,0.7359399999999967,8.143140000000013,0.6884313154830917,0.677633984060829,0.6748024830699624,0.6797405830911611,97,1,1,219.628
CN(C)[PH](=N)N(C)C.O=P(O)(O)O,-7.518039999999987,0.9385199999999954,8.387140000000016,0.37339930151335654,0.8010650483780515,0.8182373965387315,0.679634263582915,98,0,1,233.145
O=P(O)(O)OP(=O)(O)O.O=[PH](O)CP(=O)(O)O,-7.730639999999965,0.789679999999995,8.302940000000012,0.5280849825377905,0.7103775194365195,0.7687405944318835,0.6790349883650464,99,0,1,337.975
O=P(O)(O)OP(=O)(O)O.O=[PH](O)OP(=O)(O)O,-7.755799999999968,0.8370399999999949,8.242760000000004,0.546391152502868,0.73923375009139,0.7333639014296232,0.6790330313501267,100,0,1,339.94700000000006
FC(F)(F)C(F)(F)C(F)(F)F.O=P(O)(O)OP(=O)(O)O,-7.774939999999983,0.862019999999995,8.204999999999982,0.5603172293364072,0.7544539494528485,0.7111667607223131,0.678898057925702,101,0,1,365.99
CP(C)(C)=O.O=S1(=O)CCC1,-8.212979999999993,0.2802800000000005,8.25038,0.8790308498253596,0.40000243718164297,0.7378433032354899,0.6788473073962967,102,0,1,198.22399999999993
O=P(O)(O)OP(=O)(O)O.O=[PH](O)O,-7.702159999999967,0.8933399999999947,8.245040000000008,0.5073632130383734,0.7735370817186961,0.7347041948833501,0.6781517663804609,103,0,1,259.968
FC(F)(F)C(F)(F)S(F)(F)F.O=C1OBOC1=O,-7.896779999999987,0.5519599999999982,8.328699999999984,0.648966821885888,0.5655358143842442,0.78388355906693,0.6779042145078116,104,1,0,307.911
O[PH](O)=S.c1ccccc1,-7.967839999999994,0.7320999999999979,8.121920000000003,0.700669383003472,0.6752942896834078,0.6623283483822213,0.6777204411589525,105,0,1,176.177
O=S1(=O)CCC1.O=[PH](O)CP(=O)(O)O,-7.660779999999979,0.7805199999999964,8.369100000000008,0.477255529685646,0.7047963734737117,0.8076326185101346,0.6776686183518611,106,0,1,266.14799999999997
O=P(O)(O)OP(=O)(O)O.O=S1(=O)OCCCO1,-7.806899999999993,0.6709599999999972,8.31766000000002,0.5835710128055647,0.6380419682678924,0.7773937170804954,0.6774413811542352,107,0,1,316.1170000000002
O=P(O)(O)OP(=O)(O)O.O=S1(=O)OCCCO1,-7.806899999999993,0.6709599999999972,8.31766000000002,0.5835710128055647,0.6380419682678924,0.7773937170804954,0.6774413811542352,108,0,1,316.1170000000002
CC(=O)OBOC(C)=O.c1ccoc1,-7.764139999999999,0.6685199999999969,8.356559999999977,0.5524592549475944,0.636555287465572,0.8002610045146312,0.6768087645298024,109,1,0,197.983
CN(C)P(=N)(N(C)C)N(C)C.O=P(O)(O)OP(=O)(O)O,-7.640319999999986,0.7929199999999955,8.373740000000003,0.46236903376015626,0.7123516365674695,0.810360233258062,0.6765602944015126,110,0,1,356.19300000000004
CC(C#N)C#N.O[PH](O)=S,-7.759699999999987,0.9260199999999963,8.156600000000006,0.5492287543655134,0.793448855743215,0.6827149172309808,0.6758892499250109,111,0,1,178.15300000000002
